"CTA Data","Date range: 2022-11-02 - 2022-12-01"
"CTA Name","CTA Label","Campaign","Created At","Updated At","Views","Views -> Clicks","Clicks","Clicks -> Submisisons","Submissions","CTA ID","CTA Group ID","Links to URL"
"Beratungsgespr채ch buchen","Default CTA","Blog performance","2022-08-23","2022-08-23","0","0.0","0","0.0","0","ea4a2793-a62d-48d1-bb04-f42b223bfcc9","cefa9b6b-9f72-4163-a57b-a3f391cd19e2","https://meetings.hubspot.com/linda-frischling/15-min-chat"
"Blog CTA DE Beratungsgespr채ch Buchen","Default CTA","","2022-05-25","2022-05-25","0","0.0","0","0.0","0","2b351689-1c38-4779-a3b9-61a07e4d2bb4","a87ffb8b-dd5c-41d3-9d07-29f572a96235","https://www.legartis.ai/de/resources/get-in-touch"
"Blog CTA DE Legal Tech Guide","Default CTA","Whitepaper","2022-05-25","2022-05-25","52","0.0","0","0.0","0","8ac71594-9e59-478d-999e-066229d8b131","b94721bf-fbb3-4617-8613-99edf93aa88a","https://www.legartis.ai/de/resources/legaltech-guide"
"Blog CTA DE Legal Tech Infographic","Default CTA","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","10","0.2","2","1.0","2","5b727499-bb96-4a73-a8e9-aec462e651e7","ced1c6e4-c609-413b-bd81-dcd47444dd9f","https://resources.legartis.ai/infografik-legal-technology-einfuehren"
"Blog CTA DE Legal Tech Map","Default CTA","Legal Tech Map","2022-05-25","2022-05-25","269","0.01486988847583643","4","0.5","2","a8277fda-993a-46f3-b98c-3f0c8a8a51e9","79b79437-f2d2-490e-ac0d-f2e12ebb0d44","https://www.legartis.ai/de/resources/legal-tech-unternehmen"
"Blog CTA EN Legal Tech Guide","Default CTA","Whitepaper","2022-05-25","2022-05-25","11","0.0","0","0.0","0","df86a75d-f5e6-44c3-a157-bd47a258389e","0225801c-dc07-4f45-9978-9500c3a1e08c","https://www.legartis.ai/resources/legaltech-guide"
"Blog CTA EN Legal Tech Infographic","Default CTA","Infografic-Legal-Tech-einfuehren","2022-05-25","2022-05-25","4","0.0","0","0.0","0","aa18aa04-21df-4410-a205-9884e5574f31","d91c9b40-517c-4c3d-b556-09650133a08d","https://resources.legartis.ai/infographic-legal-technology"
"Blog CTA EN Legal Tech Map","Default CTA","Legal Tech Map","2022-05-25","2022-05-25","79","0.0","0","0.0","0","1c89adb7-786f-48b3-aff3-c4b1e81d2734","d79a56df-a339-4fcc-9e58-32414d6a5d60","https://www.legartis.ai/resources/legal-tech-companies"
"Blog CTA EN Solution Brief Legal","Default CTA","Solution Briefs","2022-05-25","2022-05-25","15","0.0","0","0.0","0","9559ae6b-a259-4a95-862b-42f74b362c33","33d4d35a-d31e-41b5-9472-1ff0df82ff51","https://www.legartis.ai/legal-ai"
"Book Demo","Default CTA","Product Demo","2021-04-08","2021-04-08","0","0.0","0","0.0","0","210d6601-aaf2-406d-9010-d56e8acefbd4","60f2dff1-53e9-4c47-bf08-f28b74669d15","https://resources.legartis.ai/book-product-demo"
"Book Free Consultation","Default CTA","Webinar reinvent & ZF","2021-03-15","2021-03-15","0","0.0","0","0.0","0","5c03aaba-2c36-4dad-9e1d-4d7ea4735a61","0910fecf-acc9-4e6a-aae6-ecf3860c9041","https://resources.legartis.ai/book-free-consultation"
"Book Live Demo","Default CTA","Solution Briefs","2021-06-04","2021-06-04","0","0.0","0","0.0","0","bea53dd2-5b2a-4207-9eaa-9faa811bd84a","50c0b7c9-0e41-470d-ae70-ee13d7333101","https://www.legartis.ai/resources/book-demo"
"Button CTA","Default CTA","","2022-07-18","2022-07-18","0","0.0","0","0.0","0","7eac250e-4404-4a47-b639-0609c4e98979","99c66a67-02e3-43d4-b6c7-c60f585fdf0f","https://4640853.hubspotpreview-na1.com"
"Contract Playbook Guide DE","Default CTA","Blog performance","2022-11-17","2022-11-17","19","0.10526315789473684","2","1.0","2","b469f5db-85e2-4925-894c-894a1b2195bd","84cccad0-f764-4f67-a677-c3fcef0bae3a","https://www.legartis.ai/de/resources/contract-playbook-guide"
"Contract Playbook Guide EN","Default CTA","","2022-11-17","2022-11-17","6","0.0","0","0.0","0","07f6f213-4355-41f9-a989-75b8d96e177a","6410d95a-98d7-424e-b5f2-564bfccd6549","https://www.legartis.ai/resources/contractplaybookguide"
"CTA DE Contract Review Software","Default CTA","Blog performance","2022-11-18","2022-11-18","16","0.25","4","0.5","2","3531648a-d147-427d-a795-eb233403f9fe","f174c3b6-5363-44e5-a99f-28769d93ab09","https://resources.legartis.ai/infografik-contract-review-software"
"CTA-download-Legal-tech-map","Default CTA","Legal Tech Map","2022-09-08","2022-09-08","129","0.06201550387596899","8","0.25","2","b4e3add0-472f-40d0-b180-1f6a7bdedc1e","d2cddf96-3bea-4986-a18d-4fe9e084601f","https://www.legartis.ai/de/resources/legal-tech-unternehmen"
"CTA-Legal-Tech-Webinar-Hauptpage","Default CTA","Webinar-David-Mai-Juni2022","2022-09-08","2022-09-08","208","0.004807692307692308","1","0.0","0","5db71888-abff-489b-9844-c7884fc7045c","3455b3a1-f058-4a8d-a4b9-6be614a6f11c","https://www.legartis.ai/de/legal-tech-webinare"
"DE - Mehr erfahren - Product Page - Home Page Hero","Default CTA","","2021-12-02","2021-12-02","580","0.020689655172413793","12","0.0","0","54a56373-9100-48c0-a050-1c82d924df0b","06e89181-7691-4e10-8b66-9cd38e5b8885","https://www.legartis.ai/de/ai-contract-review"
"DE Blog Business WF Weiterlesen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","04a0637a-69b0-4686-8862-dd88310a23a4","e9a868d7-f79f-40a0-9caa-68e752f9608b","https://www.legartis.ai/de/blog/vertragspruefung"
"DE Blog Digitale Rechtsabteilung","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","c5a6e33f-5dfc-4ee4-97c5-154d827f0e2b","9fa16623-6eb7-4334-9c11-925de016e4d4","https://www.legartis.ai/de/blog/schritte-auf-dem-weg-zur-digitalen-rechtsabteilung"
"DE Blog Vertr채ge mit KI","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","5579a48f-feae-483b-89bd-dece3cbf631d","6e3584b4-1b89-466b-83f8-33ac6698f5f1","https://www.legartis.ai/de/blog/vertraege-mit-kuenstlicher-intelligenz-pr체fen"
"DE Book Demo (Solution Briefs ongoing)","Default CTA","Solution Briefs","2021-07-07","2021-07-07","0","0.0","0","0.0","0","c84a7e96-0eb0-43a6-b155-6a23567b7b99","b4ce81a1-3f19-4d77-99f9-59972b3e3746","https://www.legartis.ai/de/resources/book-live-demo"
"DE Book Demo (Whitepaper)","Default CTA","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","7d60eb6f-fe90-4c17-8229-4353c6e76ea7","0f0671ae-9527-4dc9-8a17-eaa8c1d05c20","https://www.legartis.ai/de/resources/book-live-demo"
"DE Demo anfordern","Variation 1","Product Demo","2021-09-17","2021-09-17","2642","0.002271006813020439","6","0.5","3","5d5d496b-792f-4826-97b1-5acdfb7405cb","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/book-live-demo"
"DE Demo anfordern","Variation 2","Product Demo","2021-09-21","2021-09-21","0","0.0","0","0.0","0","897be18f-02e8-45d1-af7d-7741c6da5aad","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE Demo anfordern","Variation 3","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","a33ccef8-51fe-4858-b960-2fbc794f3bf8","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE Demo anfordern","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","e285d228-959e-4acc-9234-5cb5d9c172cf","f06944e3-ec81-4e17-bea6-843c0f831b5d","https://www.legartis.ai/de/resources/get-in-touch"
"DE E-Mail Termin Buchen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","6c4acd77-d5ed-47cc-82d7-c17a718555d7","fb846c01-1de5-4372-9327-b6e206c1d9e7","https://www.legartis.ai/de/resources/get-in-touch"
"DE HAWE Blog Weiterlesen","Default CTA","Whitepaper","2021-09-20","2021-09-20","0","0.0","0","0.0","0","f6317d3a-a445-4b0e-876d-219b9c149b9a","ead920b5-b285-4690-b4eb-cce97a8dc386","https://www.legartis.ai/de/blog/hawe-hydraulik-setzt-auf-intelligente-legaltech"
"DE Kontakt aufnehmen","Variation 1","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","84f34ab8-b978-4f78-9512-15c308746b84","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/book-live-demo"
"DE Kontakt aufnehmen","Variation 2","Product Demo","2021-09-17","2021-09-17","580","0.005172413793103448","3","0.0","0","afee4e0f-83d4-4f09-adb9-0faa97f801f4","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
"DE Kontakt aufnehmen","Variation 3","Product Demo","2021-09-21","2021-09-21","0","0.0","0","0.0","0","b6ee90ed-cf5d-4ef1-a403-100811283d1d","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
"DE Kontakt aufnehmen","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","e69bb086-fb48-47e1-84e6-d767b2a81443","08cd7d7e-fc83-4433-a154-585544ccc705","https://www.legartis.ai/de/resources/get-in-touch"
"DE LEXR Angebot","Default CTA","","2021-10-28","2021-10-28","0","0.0","0","0.0","0","6747f5fc-f9af-4661-9c8a-4f3208662307","a11eae0f-8659-4c19-b1c3-6167bffe2ae3","http://www.lexr.ch"
"DE Webinar Anmeldung HAWE","Default CTA","Webinar HAWE","2021-09-10","2021-09-10","0","0.0","0","0.0","0","595e49e7-88e6-4d01-b45e-559b73e3b0de","90529c2e-4f02-4b17-8ffe-502cd43090d5","https://resources.legartis.ai/de/webinar-nda-checker-hawe"
"Demo Reservieren","Default CTA","Product Demo","2021-03-28","2021-03-28","0","0.0","0","0.0","0","54f29256-b734-4e20-9f56-f1a890f842da","ba924af4-f389-4ecb-9c4e-c3ea9485d28b","https://resources.legartis.ai/de/produkt-demo-reservieren"
"Download Legal Tech Map DE","Default CTA","Legal Tech Map","2022-08-17","2022-08-17","0","0.0","0","0.0","0","f9043cfd-6f5b-465b-b840-cab2632e1d81","877fc25b-15ea-4d60-a247-e691f471a794","https://www.legartis.ai/de/resources/legal-tech-unternehmen"
"EN - Learn More - Product Page - Home Page Hero","Default CTA","","2021-12-02","2021-12-02","817","0.01346389228886169","11","0.0","0","80bd09ea-2cf7-4dca-af71-e8b699286c09","fa31f145-93e5-4361-93ca-480ab04ced5a","https://www.legartis.ai/ai-contract-review"
"EN Blog Business WF Weiterlesen","Default CTA","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","d60ef51e-62ef-4b62-91f6-b02fc66f557b","a4b183ee-4e66-4427-b7d7-3277d35d5a3e","https://www.legartis.ai/blog/how-to-optimize-business-workflows-with-ai-contract-review"
"EN Blog Contracts with AI","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","2c7cfe46-a392-44c6-849b-10471fc4386e","182232e7-dc5d-4034-b460-0f17a7c47862","https://www.legartis.ai/blog/review-contracts-with-the-help-of-ai"
"EN Blog Digitalized Legal Department","Default CTA","Solution Briefs","2021-09-22","2021-09-22","0","0.0","0","0.0","0","bef0ebe9-093f-4863-9577-47294f5f6399","42b7b539-1903-4ffe-a78e-6e0191168333","https://www.legartis.ai/blog/steps-to-becoming-a-digitalized-legal-department"
"EN Book Demo (Solution Briefs ongoing)","Default CTA","Solution Briefs","2021-07-07","2021-07-07","0","0.0","0","0.0","0","d38192e4-d237-41e2-abd4-ec0cd3ffd179","d8270033-e4e5-49b8-9f58-13757d249af6","https://www.legartis.ai/resources/book-live-demo"
"EN Book Demo (Whitepaper)","Default CTA","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","47083c27-caf3-4d91-b5b3-798d60353f84","cea18d3d-7646-4607-98ef-3cb5c1384a41","https://www.legartis.ai/resources/book-live-demo"
"EN Contact Us","Variation 1","Product Demo","2021-09-21","2021-09-21","775","0.02193548387096774","17","0.0","0","0e666387-37ae-46f0-a449-3e8664f60f1d","50981bd9-09c3-469b-9d89-af056f601b6b","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us","Variation 2","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","55a6ba31-137d-42b0-a50b-f3714e19f6b0","50981bd9-09c3-469b-9d89-af056f601b6b","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us","Variation 3","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","714344dd-665f-4e44-a9e5-58c47e1b47ba","50981bd9-09c3-469b-9d89-af056f601b6b","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","f1ea1af4-1b2d-405e-a4fd-3cb0851f5e0e","50981bd9-09c3-469b-9d89-af056f601b6b","https://www.legartis.ai/resources/book-live-demo"
"EN Contact Us (Clone)","Variation 1","Product Demo","2022-11-21","2022-11-21","0","0.0","0","0.0","0","0370099c-8eaf-4c09-9659-9b665239c10b","70a68342-eccc-44f4-ab33-5206a0c73144","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us (Clone)","Variation 2","Product Demo","2022-11-21","2022-11-21","0","0.0","0","0.0","0","71a22783-ae7f-4788-86e6-4fc5c06b072e","70a68342-eccc-44f4-ab33-5206a0c73144","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us (Clone)","Variation 3","Product Demo","2022-11-21","2022-11-21","43","0.0","0","0.0","0","ad89a991-f7cf-4d77-97c7-266b632ed8bd","70a68342-eccc-44f4-ab33-5206a0c73144","https://www.legartis.ai/resources/get-in-touch"
"EN Contact Us (Clone)","Variation 4","Product Demo","2022-11-21","2022-11-21","0","0.0","0","0.0","0","dbafc5c3-9def-4022-9dab-6dcf6c3f9c5d","70a68342-eccc-44f4-ab33-5206a0c73144","https://www.legartis.ai/resources/book-live-demo"
"EN E-Mail Termin Buchen","Default CTA","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","c6404db8-50d4-44e2-b55d-eb3efba114b1","0675454d-e08f-4bae-9b82-9aa95fff4c0a","https://www.legartis.ai/resources/get-in-touch"
"EN HAWE Blog Weiterlesen","Default CTA","Whitepaper","2021-09-21","2021-09-21","0","0.0","0","0.0","0","4ecc022e-d99d-44b4-82fe-c92229db6283","5ec3b689-1ffc-415a-9836-7cd43ab9fae5","https://www.legartis.ai/blog/hawe-hydraulik-relies-on-intelligent-legaltech"
"EN Request A Demo","Variation 1","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","282b529b-b21f-4246-96e2-d2fcedca6439","a961e2a6-3d7f-4533-8915-f92e7a81f496","https://www.legartis.ai/resources/book-live-demo"
"EN Request A Demo","Variation 2","Product Demo","2021-09-21","2021-09-21","822","0.0024330900243309003","2","0.0","0","29daafac-3a46-47bb-990e-aba0af7f3946","a961e2a6-3d7f-4533-8915-f92e7a81f496","https://www.legartis.ai/resources/get-in-touch"
"EN Request A Demo","Variation 3","Product Demo","2021-09-17","2021-09-17","905","0.004419889502762431","4","0.0","0","6c2d6c75-e7de-4844-b51e-41a246e56a7f","a961e2a6-3d7f-4533-8915-f92e7a81f496","https://www.legartis.ai/resources/get-in-touch"
"EN Request A Demo","Variation 4","Product Demo","2021-09-17","2021-09-17","0","0.0","0","0.0","0","edf33cd8-930e-4813-8f8e-944dc0ae47df","a961e2a6-3d7f-4533-8915-f92e7a81f496","https://www.legartis.ai/resources/get-in-touch"
"Generic Quad LP CTA","Default CTA","","2020-07-06","2020-07-06","0","0.0","0","0.0","0","35145f31-9838-430b-a18a-fac0da9d7167","4fe1cc3c-f56d-4d99-b6a3-ff9810e592b8","http://legartis.ai"
"Help us get better","Default CTA","","2020-07-29","2020-07-29","0","0.0","0","0.0","0","744e7bf9-b37c-42a4-9885-208a1483b7a4","c04d8159-1d08-4e75-9a86-a39116916707","http://legartis.ai"
"Inspire Cta","Default CTA","","2020-07-06","2020-07-06","0","0.0","0","0.0","0","1846aa54-3c70-41ed-8deb-f500dbf1d0af","0e9466f6-b873-4a7f-88a4-07d956300909","http://legartis.ai"
"Legal Technology Schritt-um-Schritt-DE","Default CTA","Testimonials","2022-10-13","2022-10-13","5","0.0","0","0.0","0","5408922b-4f0f-4282-9b7f-89db1b5ef051","421673d8-e3e6-47f0-b79b-df677f670ec8","https://www.legartis.ai/de/blog/legal-technology"
"Legal Technology Step-by-Step","Default CTA","Testimonials","2022-10-13","2022-10-13","6","0.16666666666666666","1","0.0","0","c32c5c32-caa6-4731-802c-6d3d1b41d1a8","cf890c0c-9ee9-448d-9093-8f5cf6c0b591","https://www.legartis.ai/blog/legal-technology-step-by-step"
"Live Demo Buchen","Default CTA","Solution Briefs","2021-06-04","2021-06-04","0","0.0","0","0.0","0","9ca71a00-bc05-4978-aee6-204425c59ac2","9a888bda-cb40-488f-8bb2-98a8a5818c28","https://www.legartis.ai/de/resources/book-demo"
"My CTA (21. Nov. 2022 17:37)","Default CTA","","2022-11-21","2022-11-21","0","0.0","0","0.0","0","eb5c8484-cf2c-45e1-9d12-eb8acfc2aa86","74fc8e36-8d5f-4a3b-a54e-18b3de69ea8d","https://www.legartis.ai/de/blog/contract-review-software-warum-braucht-man-sie-0"
"Solution Brief DL Legal DE","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","7b563b5d-94ae-4696-ab64-4211e2f3a67b","818c1d10-d740-48df-aca7-30b21259ee53","https://www.legartis.ai/de/resources/solution-brief-legal-teams"
"Solution Brief DL Legal EN","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","f1e5b613-eb8e-4807-a8cb-33e5817bf1cf","eaf75a9f-f490-4da7-8177-3095d3a1dcb1","https://www.legartis.ai/resources/solution-brief-legal-teams"
"Solution Brief DL Procurement DE","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","91543c2f-7089-4868-ac6b-21737fdb59c1","43587a82-4215-4033-b648-487d1c3f7d06","https://www.legartis.ai/de/resources/solution-brief-procurement-teams"
"Solution Brief DL Procurement EN","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","0e2b2144-8ac6-4fc9-bf28-2c4d3f061998","f42bc36d-4a68-4452-8d69-7e5c22493a8f","https://www.legartis.ai/resources/solution-brief-procurement-teams"
"Solution Brief DL Sales DE","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","c9fe735f-fda1-4a06-982a-f5299c78696e","b4743888-28c7-4a1a-9aac-d0531b6bf71f","https://www.legartis.ai/de/resources/solution-brief-sales-teams"
"Solution Brief DL Sales EN","Default CTA","Solution Briefs","2021-06-01","2021-06-01","0","0.0","0","0.0","0","9e1847a1-5845-48e6-8979-18cf760991ca","ff5bf106-0f8b-4dc6-b466-1b0ec980bb8c","https://www.legartis.ai/resources/solution-brief-sales-teams"
"Start shopping now","Default CTA","","2019-08-21","2019-08-21","0","0.0","0","0.0","0","c25ee6f5-3d50-459b-bfdd-fc676f3c2826","5e69262a-42de-4747-921d-91353029d49c","http://legartis.ai"
"Warm/Cold Mail Kampagne - Yacine Kalender CTA","Default CTA","Warm/Cold Mail Mai 2020","2020-04-27","2020-04-27","0","0.0","0","0.0","0","2de80bf5-c17d-44be-9eca-71d12ae34ba9","8b52c2bf-9c1d-4ab5-90a9-5c195e4baa83","https://meetings.hubspot.com/yacine5"
"Webinar Sign-Up","Default CTA","Webinar reinvent & ZF","2021-03-04","2021-03-04","0","0.0","0","0.0","0","43977a74-e162-40eb-b5c5-c1639b2a9409","0b2aafc5-8fc7-4b08-87ad-aecb9b2abd68","https://resources.legartis.ai/webinar-artificial-intelligence-in-legal"
"webinar-legal-tech-063022","Default CTA","Webinar-David-Mai-Juni2022","2022-06-01","2022-06-01","0","0.0","0","0.0","0","87f47243-bf12-48f1-b5aa-8f75e9bfba7e","96b1c0a3-4de1-4b15-97c3-6ca35df8496a","https://resources.legartis.ai/webinar-the-right-legal-tech-3006"
"Whitepaper DL DE","Default CTA","Whitepaper","2021-06-29","2021-06-29","0","0.0","0","0.0","0","df4c2e62-7b8d-4c0d-9b9d-9f05d3a86ffc","96b13be2-dc1b-4cbe-812c-da24857ba1d9","https://www.legartis.ai/de/resources/legaltech-guide"
"Whitepaper DL EN","Default CTA","Whitepaper","2021-06-29","2021-06-29","1","0.0","0","0.0","0","9fdeabb7-9220-4293-a38e-fb6f9c4acf47","0b3b2f6c-bc3e-479f-b93f-9a9281c2811f","https://www.legartis.ai/resources/legaltech-guide"
